"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24963","Delete All Parts","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","35292","Edit and Verify Quote","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","29609","Quote Authorisation","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-ON Quotes","tests\autoSave\createInvoiceForAHON.csr.spec.ts","",""
"","20128","Quote Creation","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-OFF Quotes","tests\autoSave\createInvoiceForAHOFF.csr.spec.ts","",""
"","28743","Quote Creation","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-ON Quotes","tests\autoSave\createInvoiceForAHON.csr.spec.ts","",""
"","21706","Add Quoting Items","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-ON Quotes","tests\autoSave\createInvoiceForAHON.csr.spec.ts","",""
"","22820","Invoice Creation","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-ON Quotes","tests\autoSave\createInvoiceForAHON.csr.spec.ts","",""
"","60460","Copy Quote from AH-ON to AH-ON","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\copyQuote.csr.spec.ts","",""
"","19476","Invoice Creation","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-OFF Quotes","tests\autoSave\createInvoiceForAHOFF.csr.spec.ts","",""
"","77432","Copy Quote from AH-OFF to AH-ON","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\copyQuote.csr.spec.ts","",""
"","16280","CSR Sign In","csr-setup","2026-09-04","passed","2026-09-04","","auth-setup\auth.csr.setup.ts","",""
"","67442","Copy Quote from AH-OFF to AH-OFF","flexiquote-csr","2026-09-04","failed","2026-09-04","Auto Save","tests\autoSave\copyQuote.csr.spec.ts","",""
"","22228","Verify Line Number Sequence","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","19141","Verify Quoting Item Sequence","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","31245","Add Quoting Items","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
"","19651","Add Quoting Items","flexiquote-csr","2026-09-04","passed","2026-09-04","Invoice for AH-OFF Quotes","tests\autoSave\createInvoiceForAHOFF.csr.spec.ts","",""
"","60225","Copy Quote from AH-ON to AH-OFF","flexiquote-csr","2026-09-04","failed","2026-09-04","Auto Save","tests\autoSave\copyQuote.csr.spec.ts","",""
"","18427","Copy Quote to New Quote","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\copyQuote.csr.spec.ts","",""
"","17547","Quote Creation","flexiquote-csr","2026-09-04","passed","2026-09-04","Auto Save","tests\autoSave\createQuote.csr.spec.ts","",""
