"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33099","Search by Vehicle Make","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","29790","Validate Search by Customer name","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","24496","Search by Colour","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","23064","Search by Phone Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","17108","Search by Build Year","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","23822","Search by Customer Name","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","20533","Search by Claim Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","24904","Search by Labour Type","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","24815","Search by Invoice Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","28720","Validate Search by Invoice Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","39533","Search by VIN Number","flexiquote-user","2026-06-12","failed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","25099","Search by Quote Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","27784","Search by Assessor Name","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","22629","Search by Registration Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","24366","Regular user sign in","user-setup","2026-06-12","passed","2026-06-12","","auth-setup\auth.user.setup.ts","",""
"","27174","Search by Part Number","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
"","24206","Search by Insurer Name","flexiquote-user","2026-06-12","passed","2026-06-12","Global Search","tests\globalSearch.spec.ts","",""
