"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Listing Preview","0","Tables Listing Preview","60","0","","0"
"0","Specific Listing Preview","0","Specific Quote Listing Preview","6","0","","0"
"0","Listing Preview","0","Report Listing Preview","60","0","","0"
"0","Specific Listing Preview","0","Specific Tables Listing Preview","30","0","","0"
"0","Listing Preview","0","Admin Listing Preview","12","0","","0"
"0","Specific Listing Preview","0","Specific Creditor Listing Preview","12","0","","0"
"0","Specific Listing Preview","0","Specific Reports Listing Preview","27","0","","0"
"0","Listing Preview","0","Creditor Listing Preview","24","0","","0"
"0","Specific Listing Preview","0","Specific Debtor Listing Preview","9","0","","0"
"0","Auth-Setup","0","CSR","1","0","","0"
"0","Listing Preview","0","Debtor Listing Preview","18","0","","0"
"0","Listing Preview","0","Quote Listing Preview","12","0","","0"
"0","Auth-Setup","0","Admin","1","0","","0"
"0","Auth-Setup","0","User","1","0","","0"
