"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8784","Payment List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","15255","Specific Outstanding Credit Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","13766","Specific Recurring Remarks Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9708","Payment Entry Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","10095","Insurer Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","17424","CSR Sign In","csr-setup","2026-09-08","passed","2026-09-08","","auth-setup\auth.csr.setup.ts","",""
"","14231","Specific Items Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","20713","Specific Payment List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10157","Due In & Due Out Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","15192","Specific Purchase Orders Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14192","Specific Insurer Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","18576","Specific Job Invoiced Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","13812","Specific Other Labour Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9512","Debtor Adjustment Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","15756","Specific Debtor Adjustment Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14671","Specific Sundry Creditor Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14303","Specific Receipts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10134","Purchase Order Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9508","Quick Item Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9446","Recurring Remarks Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","21503","Email/SMS Log Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9516","Return Parts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","8866","Unscheduled Model Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9484","Customer Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","13655","Specific Vendor Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","11695","Sales Analysis Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","14529","Specific Creditor List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10001","Vehicle Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","11384","Quick Invoice Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","22272","Specific JCNI Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","15179","Specific Quick Invoice Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9313","Other Labour Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9648","Contact Profile Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","13673","Specific Vehicle Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","11392","Item Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","11248","Job Invoiced Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","27547","Specific Receipt Entry Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10757","Specific UnScheduledmodels Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","13422","Specific Repairer Quote Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","19470","Specific Debtor List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","8790","Sundry Creditor Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","11510","Misc Quote Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9331","Outstanding Credits Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9804","Receipts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","20898","Specific Due In and Due Out Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10061","Debtor List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","12780","JCNI Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","13844","Specific Contact Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14289","Specific Return Parts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9643","Outstanding Parts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","21272","Specific Payment Entry Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","19329","Specific Outstanding Parts Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","16349","Specific Misc Quote Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","10026","Receipt Entry Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9087","Vendor Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","13773","Specific Quick Items Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","14977","Specific Customer Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\specificRecordPreview.csr.spec.ts","",""
"","9593","G/L Mapping Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
"","9057","Creditor List Listing Preview","flexiquote-csr","2026-09-08","passed","2026-09-08","Listing Preview","tests\regression\listingPreview.csr.spec.ts","",""
