"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Tables","0","Contact Profile","1","0","Inactivate","0"
"0","Quotes","0","Quote Creation","3","0","Existing","0"
"0","Tables","0","Contact Profile","1","0","Create","0"
"0","Quotes","0","Quote Template","1","0","Create Template","0"
"0","Quotes","0","Quote Creation","3","0","New Customer","0"
"0","Quotes","0","Misc Quote","1","0","Create Misc Quote","0"
"0","Quotes","0","Quote Template","1","0","Delete Template","0"
"0","Auth-Setup","0","Admin","1","0","","0"
"0","Auth-Setup","0","CSR","1","0","","0"
"0","Tables","0","Contact Profile","1","0","Navigation","0"
"0","Auth-Setup","0","User","1","0","","0"
