"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8372","New Customer Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","6545","New Recurring Remarks Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","6438","New Quick Item Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","7592","New Contact Profile Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","6370","New Other Labour Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","9476","New Item Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","11781","New Vehicle Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","7816","New Vendor Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","9209","New Insurer Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
"","8889","New Unscheduled Vehicle Creation Flow","chromium","2026-07-31","passed","2026-07-31","Tables Options Flow","TablesOptionsFlows\TablesOptionsFlow.spec.js","",""
